id,original,surface,pronunciation,prefecture,city,lines,operator,opened_year,station_code,status,image,image_page,description,wikidata
61,粟生津,粟生津,あおうづ,新潟県,燕市,JR東日本 越後線,JR東日本,1914,アオ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Echigo%20Line%20Aozu%20Station%20Platform.jpg,https://commons.wikimedia.org/wiki/File:JR_Echigo_Line_Aozu_Station_Platform.jpg,新潟県燕市下粟生津にある、東日本旅客鉄道（JR東日本）越後線の駅である。,Q4833414
62,青倉,青倉,あおくら,兵庫県,朝来市,JR西日本 播但線,JR西日本,1934,アオ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aokura%20Station%20apr2018%2003.jpg,https://commons.wikimedia.org/wiki/File:Aokura_Station_apr2018_03.jpg,兵庫県朝来市物部字前田にある、西日本旅客鉄道（JR西日本）播但線の駅である。,Q4778658
63,青笹,青笹,あおざさ,岩手県,遠野市,JR東日本 釜石線,JR東日本,1915,オサ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Aozasa%20sta%20001.jpg,https://commons.wikimedia.org/wiki/File:JR_Aozasa_sta_001.jpg,岩手県遠野市青笹町青笹にある、東日本旅客鉄道（JR東日本）釜石線の駅である。,Q1112611
64,青島,青島,あおしま,宮崎県,宮崎市,JR九州 日南線,JR九州,1963,アシ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aoshima%20station%202020.11.25.jpg,https://commons.wikimedia.org/wiki/File:Aoshima_station_2020.11.25.jpg,宮崎県宮崎市青島一丁目にある、九州旅客鉄道（JR九州）日南線の駅である。,Q4778783
65,青塚,青塚,あおつか,愛知県,津島市,名鉄津島線,名鉄,1914,TB04,current,http://commons.wikimedia.org/wiki/Special:FilePath/Meitetsu%20Aotsuka%20Station.JPG,https://commons.wikimedia.org/wiki/File:Meitetsu_Aotsuka_Station.JPG,愛知県津島市青塚町高畑にある、名古屋鉄道津島線の駅である。駅番号はTB04。1980-90年にかけては準急列車が停車していたが現在は普通列車のみ停車する。manacaが利用できる。,Q4778809
66,青砥,青砥,あおと,東京都,青戸,京成電鉄 京成押上線／京成電鉄 京成本線,京成電鉄,1928,KS09,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aoto%20Sta.%20platform3.jpg,https://commons.wikimedia.org/wiki/File:Aoto_Sta._platform3.jpg,東京都葛飾区青戸三丁目にある、京成電鉄の駅である。本線と押上線が乗り入れている。駅番号はKS09。,Q4132960
67,青沼,青沼,あおぬま,長野県,佐久市,JR東日本 小海線,JR東日本,1915,アオ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Koumi%20Line%20Aonuma%20Station%20Overall.jpg,https://commons.wikimedia.org/wiki/File:JR_Koumi_Line_Aonuma_Station_Overall.jpg,長野県佐久市入澤にある、東日本旅客鉄道（JR東日本）小海線の駅である。,Q4778718
68,青野ケ原,青野ケ原,あおのがはら,兵庫県,小野市,JR西日本 加古川線,JR西日本,1913,アノ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aonogahara%20St.JPG,https://commons.wikimedia.org/wiki/File:Aonogahara_St.JPG,兵庫県小野市復井町にある、西日本旅客鉄道（JR西日本）加古川線の駅である。,Q3095654
69,青郷,青郷,あおのごう,福井県,高浜町,JR西日本 小浜線,,1940,アウ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aonogo20090830.JPG,https://commons.wikimedia.org/wiki/File:Aonogo20090830.JPG,福井県大飯郡高浜町青にある、西日本旅客鉄道（JR西日本）小浜線の駅である。,Q4778709
70,青野山,青野山,あおのやま,島根県,津和野町,JR西日本 山口線,JR西日本,1961,ノヤ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aonoyama20080712.JPG,https://commons.wikimedia.org/wiki/File:Aonoyama20080712.JPG,島根県鹿足郡津和野町直地（ただち）にある、西日本旅客鉄道（JR西日本）山口線の駅である。,Q4778712
71,青原,青原,あおはら,島根県,津和野町,JR西日本 山口線,JR西日本,1924,アオ,current,http://commons.wikimedia.org/wiki/Special:FilePath/%E9%9D%92%E5%8E%9F%E9%A7%85.jpg,https://commons.wikimedia.org/wiki/File:%E9%9D%92%E5%8E%9F%E9%A7%85.jpg,島根県鹿足郡津和野町冨田にある、西日本旅客鉄道（JR西日本）山口線の駅である。,Q4778611
72,青葉,青葉,あおば,北海道,苫小牧市,JR北海道 室蘭本線,JR北海道,1988,H19／オハ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Muroran-Main-Line%20Aoba%20Station%20Up%20the%20line%20appearance.jpg,https://commons.wikimedia.org/wiki/File:JR_Muroran-Main-Line_Aoba_Station_Up_the_line_appearance.jpg,北海道苫小牧市青葉町1丁目にある北海道旅客鉄道（JR北海道）室蘭本線の駅である。駅番号はH19。,Q4778571
73,青葉台,青葉台,あおばだい,神奈川県,横浜市,東急電鉄 東急田園都市線,東急電鉄,1966,DT20,current,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyu%20Aobadai%20Station2.JPG,https://commons.wikimedia.org/wiki/File:Tokyu_Aobadai_Station2.JPG,神奈川県横浜市青葉区青葉台一丁目にある、東急電鉄田園都市線の駅である。駅番号はDT20。全ての種別の列車が停車する。駅に隣接して、青葉台東急スクエアがある。,Q857586
74,あおば通,あおば通,あおばどおり,宮城県,仙台市/青葉区,JR東日本 仙石線,JR東日本,2000,アリ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aobadorista%20cropped.jpg,https://commons.wikimedia.org/wiki/File:Aobadorista_cropped.jpg,宮城県仙台市青葉区中央3丁目にある、東日本旅客鉄道（JR東日本）仙石線の駅である。仙台トンネルの西端に位置する、同線の起点駅である。,Q4778563
75,青葉通一番町,青葉通一番町,あおばどおりいちばんちょう,宮城県,仙台市,仙台市交通局 仙台市営地下鉄東西線,仙台市交通局,2015,T06,current,http://commons.wikimedia.org/wiki/Special:FilePath/SS_Aoba-dori_Ichibancho_station_South_1_Entrance_2022.jpg,https://commons.wikimedia.org/wiki/File:SS_Aoba-dori_Ichibancho_station_South_1_Entrance_2022.jpg,宮城県仙台市青葉区一番町三丁目に位置する、仙台市地下鉄東西線の駅。駅番号はT06。副駅名は「藤崎前」（令和7年3月31日まで）。,Q11352995
76,青葉山,青葉山,あおばやま,宮城県,仙台市,仙台市交通局 仙台市営地下鉄東西線,,2015,T02,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aobayama-STA_Entrance_North-1.jpg,https://commons.wikimedia.org/wiki/File:Aobayama-STA_Entrance_North-1.jpg,宮城県仙台市青葉区荒巻字青葉に位置する、仙台市地下鉄東西線の駅。駅番号はT02。副駅名は「東北大学青葉山キャンパス前」。駅名は仙台市の丘陵「青葉山」に由来する。,Q11662741
77,青堀,青堀,あおほり,千葉県,富津市,JR東日本 内房線,JR東日本,1915,ホリ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Uchib%C5%8D%20Line%20Aohori%20Station%20Platform.jpg,https://commons.wikimedia.org/wiki/File:JR_Uchib%C5%8D_Line_Aohori_Station_Platform.jpg,千葉県富津市大堀にある、東日本旅客鉄道（JR東日本）内房線の駅である。,Q558935
78,青海,青海,あおみ,東京都,青海,ゆりかもめ東京臨海新交通臨海線,ゆりかもめ,1995,U10,current,http://commons.wikimedia.org/wiki/Special:FilePath/Yurikamome-U10-Aomi-Station-platform.jpg,https://commons.wikimedia.org/wiki/File:Yurikamome-U10-Aomi-Station-platform.jpg,東京都江東区青海一丁目にある、ゆりかもめ東京臨海新交通臨海線の駅である。駅番号はU 10。,Q1042051
79,青物横丁,青物横丁,あおものよこちょう,東京都,品川区,京浜急行電鉄 京急本線,京浜急行電鉄,1904,KK04,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aomonoyokochostation.jpg,https://commons.wikimedia.org/wiki/File:Aomonoyokochostation.jpg,東京都品川区南品川三丁目にある、京浜急行電鉄（京急）本線の駅である。駅番号はKK04。隣接の鮫洲駅との駅間距離は500mと短い。,Q852188
80,青森,青森,あおもり,青森県,柳川,JR東日本 奥羽本線／JR東日本 津軽線／青い森鉄道線,JR東日本／青い森鉄道,1891,アオ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aomori%20Station%20new%20building%2020240324.jpg,https://commons.wikimedia.org/wiki/File:Aomori_Station_new_building_20240324.jpg,青森県青森市柳川（やなかわ）1丁目にある、東日本旅客鉄道（JR東日本）・青い森鉄道の駅である。,Q59516
81,青谷,青谷,あおや,鳥取県,鳥取市,JR西日本 山陰本線,JR西日本,1905,アオ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aoya%20Station%2C%20ekisha.jpg,https://commons.wikimedia.org/wiki/File:Aoya_Station%2C_ekisha.jpg,鳥取県鳥取市青谷町青谷にある西日本旅客鉄道（JR西日本）山陰本線の駅である。,Q899423
82,青柳,青柳,あおやぎ,長野県,茅野市,JR東日本 中央本線,JR東日本,1905,アヤ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JREast-Chuo-main-line-Aoyagi-station-entrance-20220820-100845.jpg,https://commons.wikimedia.org/wiki/File:JREast-Chuo-main-line-Aoyagi-station-entrance-20220820-100845.jpg,長野県茅野市金沢青柳にある、東日本旅客鉄道（JR東日本）中央本線の駅である。,Q844053
83,青柳町,青柳町,あおやぎちょう,北海道,函館市,函館市企業局交通部 函館市電宝来・谷地頭線,函館市企業局交通部,1913,Y25,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aoyagicho%20Station.jpg,https://commons.wikimedia.org/wiki/File:Aoyagicho_Station.jpg,北海道函館市青柳町33番地先、21番地先にある函館市企業局交通部（函館市電）宝来・谷地頭線の停留場である。駅番号はY25。,Q11661954
84,青山,青山,あおやま,岩手県,盛岡市,IGRいわて銀河鉄道 いわて銀河鉄道線,IGRいわて銀河鉄道,2006,アオ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Iwate%20Galaxy%20Railway%20headquarters.jpg,https://commons.wikimedia.org/wiki/File:Iwate_Galaxy_Railway_headquarters.jpg,岩手県盛岡市青山二丁目にある、IGRいわて銀河鉄道いわて銀河鉄道線の駅である。好摩駅から乗り入れる東日本旅客鉄道（JR東日本）花輪線の列車も利用可能である。,Q4778832
85,青山,青山,あおやま,愛知県,半田市,名鉄河和線,名鉄,1933,KC14,current,http://commons.wikimedia.org/wiki/Special:FilePath/MT-Aoyama%20Station-Building%202014.JPG,https://commons.wikimedia.org/wiki/File:MT-Aoyama_Station-Building_2014.JPG,愛知県半田市青山一丁目にある名古屋鉄道河和線の駅。駅番号はKC14。全ての列車が停車する。,Q4778833
86,青山,青山,あおやま,新潟県,新潟市,JR東日本 越後線,JR東日本,1988,アヤ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Echigo%20Line%20Aoyama%20Station%20building.jpg,https://commons.wikimedia.org/wiki/File:JR_Echigo_Line_Aoyama_Station_building.jpg,新潟県新潟市西区浦山一丁目にある、東日本旅客鉄道（JR東日本）越後線の駅である。,Q4778836
87,青山一丁目,青山一丁目,あおやまいっちょうめ,東京都,北青山/南青山,東京地下鉄 東京メトロ半蔵門線／東京地下鉄 東京メトロ銀座線／東京都交通局 都営地下鉄大江戸線,東京地下鉄／東京都交通局,1938,E-24／G-04／Z-03,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aoyama-itchome-station-Exit1.jpg,https://commons.wikimedia.org/wiki/File:Aoyama-itchome-station-Exit1.jpg,東京都港区にある、東京地下鉄（東京メトロ）・東京都交通局（都営地下鉄）の駅。東京メトロの銀座線と半蔵門線、都営地下鉄の大江戸線が乗り入れており、接続駅となっている。,Q602410
88,青山町,青山町,あおやまちょう,三重県,伊賀市,近畿日本鉄道 近鉄大阪線,近畿日本鉄道,1930,D53,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aoyamacho%20Station%20ekisha.JPG,https://commons.wikimedia.org/wiki/File:Aoyamacho_Station_ekisha.JPG,三重県伊賀市阿保（あお）にある、近畿日本鉄道（近鉄）大阪線の駅である。駅番号はD53。,Q4778841
89,赤,赤,あか,福岡県,赤村,平筑 田川線,,2003,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Aka%20station%20and%20battery%20locomotive%20hauled%20train.jpg,https://commons.wikimedia.org/wiki/File:Aka_station_and_battery_locomotive_hauled_train.jpg,福岡県田川郡赤村大字内田にある平成筑豊鉄道田川線の駅である。駅番号はHC20。優等列車の運行はなく、普通列車のみ停車する。,Q11636024
90,赤井,赤井,あかい,福島県,いわき市,JR東日本 磐越東線,JR東日本,1915,アイ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Ban-etsu-East%20Line%20Akai%20Station%20Platform.jpg,https://commons.wikimedia.org/wiki/File:JR_Ban-etsu-East_Line_Akai_Station_Platform.jpg,福島県いわき市平赤井にある、東日本旅客鉄道（JR東日本）磐越東線の駅である。,Q4700176
91,赤井川,赤井川,あかいがわ,北海道,森町,JR北海道 函館本線,JR北海道,1904,H66／アカ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Akaigawa%20Sta..jpg,https://commons.wikimedia.org/wiki/File:Akaigawa_Sta..jpg,北海道茅部郡森町字赤井川にある北海道旅客鉄道（JR北海道）函館本線（本線）の駅である。駅番号はH66。電報略号はアカ。事務管理コードは▲140110。,Q1049269
92,赤池,赤池,あかいけ,岐阜県,郡上市,長良川鉄道越美南線,長良川鉄道,1952,22／アカ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Nagaragawa%20rw%20Akaike%20stn.jpg,https://commons.wikimedia.org/wiki/File:Nagaragawa_rw_Akaike_stn.jpg,岐阜県郡上市美並町山田にある、長良川鉄道越美南線の駅である。駅番号は22。,Q4700182
93,赤池,赤池,あかいけ,愛知県,日進市,名市交 鶴舞線／名鉄豊田線,名市交／名鉄,1978,T20／TT07,current,http://commons.wikimedia.org/wiki/Special:FilePath/Turumai%26Meitetsu-Toyota-Line-AkaikeStation.JPG,https://commons.wikimedia.org/wiki/File:Turumai%26Meitetsu-Toyota-Line-AkaikeStation.JPG,愛知県日進市赤池1丁目にある、名古屋市交通局（名古屋市営地下鉄）・名古屋鉄道（名鉄）の駅。駅番号は名古屋市営地下鉄がT20、名鉄がTT07。,Q850867
94,赤池,赤池,あかいけ,福岡県,福智町,平筑 伊田線,,1904,アケ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Heiseichikuho%20Akaike%20Station01.jpg,https://commons.wikimedia.org/wiki/File:Heiseichikuho_Akaike_Station01.jpg,福岡県田川郡福智町赤池にある平成筑豊鉄道伊田線の駅である。旧・赤池町の中心駅。駅番号はHC8。,Q11635756
95,赤岩口,赤岩口,あかいわぐち,愛知県,東田町,豊橋鉄道 東田本線,,1960,,current,http://commons.wikimedia.org/wiki/Special:FilePath/Akaiwaguchi-sta.JPG,https://commons.wikimedia.org/wiki/File:Akaiwaguchi-sta.JPG,愛知県豊橋市東田町井原にある豊橋鉄道東田本線の停留場（電停）である。停留場番号は13。東田本線の終点で、愛知県内の私鉄駅としては最東端に当たる。,Q11635538
96,あかおか,あかおか,あかおか,高知県,香南市,土佐くろしお鉄道ごめん・なはり線,土佐くろしお鉄道,2002,GN35／オカ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Akaoka%20station%2001.jpg,https://commons.wikimedia.org/wiki/File:Akaoka_station_01.jpg,高知県香南市赤岡町にある、土佐くろしお鉄道（TKT）ごめん・なはり線の駅である。駅番号はGN35。全列車が停車する。夕方には後免方面からの折返し列車も設定されている。,Q4700280
